Date,AQI_Value,Main_Pollutant,Site_ID,Site_Name,Source
4-Nov-2020,43,PM2.5,36-061-0115,Intermediate School 143,AQS
5-Nov-2020,47,PM2.5,36-061-0115,Intermediate School 143,AQS
6-Nov-2020,54,PM2.5,36-061-0115,Intermediate School 143,AQS
7-Nov-2020,60,PM2.5,36-061-0115,Intermediate School 143,AQS
8-Nov-2020,74,PM2.5,36-061-0115,Intermediate School 143,AQS
9-Nov-2020,72,PM2.5,36-061-0115,Intermediate School 143,AQS
10-Nov-2020,48,PM2.5,36-061-0115,Intermediate School 143,AQS
11-Nov-2020,28,PM2.5,36-061-0115,Intermediate School 143,AQS
12-Nov-2020,17,Ozone,36-061-0135,CCNY,AQS
13-Nov-2020,18,PM2.5,36-061-0115,Intermediate School 143,AQS
14-Nov-2020,30,PM2.5,36-061-0115,Intermediate School 143,AQS
15-Nov-2020,39,PM2.5,36-061-0115,Intermediate School 143,AQS
16-Nov-2020,38,PM2.5,36-061-0115,Intermediate School 143,AQS
17-Nov-2020,51,PM2.5,36-061-0115,Intermediate School 143,AQS
18-Nov-2020,28,PM2.5,36-061-0115,Intermediate School 143,AQS
