Date,AQI_Value,Main_Pollutant,Site_ID,Site_Name,Source
17-Dec-2019,30,PM2.5,36-061-0079,IS 45,AQS
18-Dec-2019,34,PM2.5,36-061-0134,DIVISION STREET,AQS
19-Dec-2019,45,PM2.5,36-061-0115,Intermediate School 143,AQS
20-Dec-2019,40,PM2.5,36-061-0115,Intermediate School 143,AQS
21-Dec-2019,52,PM2.5,36-061-0115,Intermediate School 143,AQS
22-Dec-2019,64,PM2.5,36-061-0115,Intermediate School 143,AQS
23-Dec-2019,66,PM2.5,36-061-0079,IS 45,AQS
24-Dec-2019,42,PM2.5,36-061-0134,DIVISION STREET,AQS
25-Dec-2019,53,PM2.5,36-061-0115,Intermediate School 143,AQS
26-Dec-2019,66,PM2.5,36-061-0134,DIVISION STREET,AQS
27-Dec-2019,51,PM2.5,36-061-0115,Intermediate School 143,AQS
28-Dec-2019,53,PM2.5,36-061-0134,DIVISION STREET,AQS
29-Dec-2019,56,PM2.5,36-061-0134,DIVISION STREET,AQS
30-Dec-2019,16,PM2.5,36-061-0135,CCNY,AQS
31-Dec-2019,30,PM2.5,36-061-0115,Intermediate School 143,AQS
1-Jan-2020,36,PM2.5,36-061-0115,Intermediate School 143,AQS
2-Jan-2020,56,PM2.5,36-061-0115,Intermediate School 143,AQS
3-Jan-2020,62,PM2.5,36-061-0115,Intermediate School 143,AQS
4-Jan-2020,55,PM2.5,36-061-0135,CCNY,AQS
5-Jan-2020,37,PM2.5,36-061-0135,CCNY,AQS
6-Jan-2020,47,PM2.5,36-061-0115,Intermediate School 143,AQS
7-Jan-2020,43,PM2.5,36-061-0134,DIVISION STREET,AQS
8-Jan-2020,47,PM2.5,36-061-0115,Intermediate School 143,AQS
9-Jan-2020,43,PM2.5,36-061-0115,Intermediate School 143,AQS
10-Jan-2020,50,PM2.5,36-061-0115,Intermediate School 143,AQS
11-Jan-2020,49,PM2.5,36-061-0135,CCNY,AQS
12-Jan-2020,40,PM2.5,36-061-0115,Intermediate School 143,AQS
13-Jan-2020,49,PM2.5,36-061-0134,DIVISION STREET,AQS
14-Jan-2020,53,PM2.5,36-061-0134,DIVISION STREET,AQS
15-Jan-2020,55,PM2.5,36-061-0115,Intermediate School 143,AQS
16-Jan-2020,43,PM2.5,36-061-0115,Intermediate School 143,AQS
17-Jan-2020,37,PM2.5,36-061-0115,Intermediate School 143,AQS
18-Jan-2020,26,PM2.5,36-061-0134,DIVISION STREET,AQS
19-Jan-2020,40,PM2.5,36-061-0115,Intermediate School 143,AQS
20-Jan-2020,30,PM2.5,36-061-0115,Intermediate School 143,AQS
21-Jan-2020,35,PM2.5,36-061-0115,Intermediate School 143,AQS
22-Jan-2020,49,PM2.5,36-061-0134,DIVISION STREET,AQS
23-Jan-2020,67,PM2.5,36-061-0115,Intermediate School 143,AQS
24-Jan-2020,66,PM2.5,36-061-0134,DIVISION STREET,AQS
25-Jan-2020,30,PM2.5,36-061-0134,DIVISION STREET,AQS
26-Jan-2020,29,PM2.5,36-061-0115,Intermediate School 143,AQS
27-Jan-2020,35,PM2.5,36-061-0115,Intermediate School 143,AQS
28-Jan-2020,30,PM2.5,36-061-0115,Intermediate School 143,AQS
29-Jan-2020,29,Ozone,36-061-0135,CCNY,AQS
30-Jan-2020,37,PM2.5,36-061-0115,Intermediate School 143,AQS
31-Jan-2020,54,PM2.5,36-061-0115,Intermediate School 143,AQS
1-Feb-2020,50,PM2.5,36-061-0134,DIVISION STREET,AQS
2-Feb-2020,44,PM2.5,36-061-0115,Intermediate School 143,AQS
3-Feb-2020,52,PM2.5,36-061-0115,Intermediate School 143,AQS
4-Feb-2020,61,PM2.5,36-061-0115,Intermediate School 143,AQS
5-Feb-2020,23,PM2.5,36-061-0135,CCNY,AQS
6-Feb-2020,32,PM2.5,36-061-0134,DIVISION STREET,AQS
7-Feb-2020,30,PM2.5,36-061-0115,Intermediate School 143,AQS
8-Feb-2020,47,PM2.5,36-061-0115,Intermediate School 143,AQS
9-Feb-2020,46,PM2.5,36-061-0115,Intermediate School 143,AQS
10-Feb-2020,39,PM2.5,36-061-0115,Intermediate School 143,AQS
11-Feb-2020,36,PM2.5,36-061-0115,Intermediate School 143,AQS
12-Feb-2020,40,PM2.5,36-061-0134,DIVISION STREET,AQS
13-Feb-2020,34,PM2.5,36-061-0115,Intermediate School 143,AQS
14-Feb-2020,34,PM2.5,36-061-0115,Intermediate School 143,AQS
15-Feb-2020,52,PM2.5,36-061-0134,DIVISION STREET,AQS
16-Feb-2020,45,PM2.5,36-061-0115,Intermediate School 143,AQS
17-Feb-2020,43,PM2.5,36-061-0115,Intermediate School 143,AQS
18-Feb-2020,53,PM2.5,36-061-0134,DIVISION STREET,AQS
19-Feb-2020,34,PM2.5,36-061-0115,Intermediate School 143,AQS
20-Feb-2020,31,Ozone,36-061-0135,CCNY,AQS
21-Feb-2020,41,PM2.5,36-061-0134,DIVISION STREET,AQS
22-Feb-2020,39,PM2.5,36-061-0115,Intermediate School 143,AQS
23-Feb-2020,48,PM2.5,36-061-0134,DIVISION STREET,AQS
24-Feb-2020,61,PM2.5,36-061-0079,IS 45,AQS
25-Feb-2020,45,PM2.5,36-061-0115,Intermediate School 143,AQS
26-Feb-2020,31,Ozone,36-061-0135,CCNY,AQS
27-Feb-2020,33,PM2.5,36-061-0134,DIVISION STREET,AQS
28-Feb-2020,31,Ozone,36-061-0135,CCNY,AQS
29-Feb-2020,31,Ozone,36-061-0135,CCNY,AQS
1-Mar-2020,35,Ozone,36-061-0135,CCNY,AQS
2-Mar-2020,54,PM2.5,36-061-0115,Intermediate School 143,AQS
3-Mar-2020,49,PM2.5,36-061-0115,Intermediate School 143,AQS
4-Mar-2020,35,Ozone,36-061-0135,CCNY,AQS
5-Mar-2020,30,Ozone,36-061-0135,CCNY,AQS
6-Mar-2020,27,Ozone,36-061-0135,CCNY,AQS
7-Mar-2020,34,Ozone,36-061-0135,CCNY,AQS
8-Mar-2020,31,Ozone,36-061-0135,CCNY,AQS
9-Mar-2020,48,PM2.5,36-061-0115,Intermediate School 143,AQS
10-Mar-2020,48,PM2.5,36-061-0115,Intermediate School 143,AQS
11-Mar-2020,28,Ozone,36-061-0135,CCNY,AQS
12-Mar-2020,35,PM2.5,36-061-0135,CCNY,AQS
13-Mar-2020,38,Ozone,36-061-0135,CCNY,AQS
14-Mar-2020,32,Ozone,36-061-0135,CCNY,AQS
15-Mar-2020,35,Ozone,36-061-0135,CCNY,AQS
16-Mar-2020,31,Ozone,36-061-0135,CCNY,AQS
17-Mar-2020,27,PM2.5,36-061-0115,Intermediate School 143,AQS
18-Mar-2020,31,Ozone,36-061-0135,CCNY,AQS
19-Mar-2020,26,Ozone,36-061-0135,CCNY,AQS
20-Mar-2020,40,PM2.5,36-061-0115,Intermediate School 143,AQS
21-Mar-2020,36,Ozone,36-061-0135,CCNY,AQS
22-Mar-2020,36,Ozone,36-061-0135,CCNY,AQS
23-Mar-2020,29,Ozone,36-061-0135,CCNY,AQS
24-Mar-2020,34,Ozone,36-061-0135,CCNY,AQS
25-Mar-2020,31,Ozone,36-061-0135,CCNY,AQS
26-Mar-2020,31,Ozone,36-061-0135,CCNY,AQS
27-Mar-2020,39,Ozone,36-061-0135,CCNY,AQS
28-Mar-2020,38,Ozone,36-061-0135,CCNY,AQS
29-Mar-2020,38,Ozone,36-061-0135,CCNY,AQS
30-Mar-2020,26,Ozone,36-061-0135,CCNY,AQS
31-Mar-2020,32,Ozone,36-061-0135,CCNY,AQS
1-Apr-2020,38,Ozone,36-061-0135,CCNY,AQS
2-Apr-2020,35,Ozone,36-061-0135,CCNY,AQS
3-Apr-2020,28,Ozone,36-061-0135,CCNY,AQS
4-Apr-2020,33,Ozone,36-061-0135,CCNY,AQS
5-Apr-2020,39,PM2.5,36-061-0115,Intermediate School 143,AQS
6-Apr-2020,37,Ozone,36-061-0135,CCNY,AQS
7-Apr-2020,43,Ozone,36-061-0135,CCNY,AQS
8-Apr-2020,35,PM2.5,36-061-0115,Intermediate School 143,AQS
9-Apr-2020,40,Ozone,36-061-0135,CCNY,AQS
10-Apr-2020,33,Ozone,36-061-0135,CCNY,AQS
11-Apr-2020,40,Ozone,36-061-0135,CCNY,AQS
12-Apr-2020,42,Ozone,36-061-0135,CCNY,AQS
13-Apr-2020,40,Ozone,36-061-0135,CCNY,AQS
14-Apr-2020,40,Ozone,36-061-0135,CCNY,AQS
15-Apr-2020,40,Ozone,36-061-0135,CCNY,AQS
16-Apr-2020,37,Ozone,36-061-0135,CCNY,AQS
17-Apr-2020,38,Ozone,36-061-0135,CCNY,AQS
18-Apr-2020,33,Ozone,36-061-0135,CCNY,AQS
19-Apr-2020,46,Ozone,36-061-0135,CCNY,AQS
20-Apr-2020,37,Ozone,36-061-0135,CCNY,AQS
21-Apr-2020,35,Ozone,36-061-0135,CCNY,AQS
22-Apr-2020,36,Ozone,36-061-0135,CCNY,AQS
23-Apr-2020,30,Ozone,36-061-0135,CCNY,AQS
24-Apr-2020,27,Ozone,36-061-0135,CCNY,AQS
25-Apr-2020,41,Ozone,36-061-0135,CCNY,AQS
26-Apr-2020,36,Ozone,36-061-0135,CCNY,AQS
27-Apr-2020,32,Ozone,36-061-0135,CCNY,AQS
28-Apr-2020,37,Ozone,36-061-0135,CCNY,AQS
29-Apr-2020,35,Ozone,36-061-0135,CCNY,AQS
30-Apr-2020,40,Ozone,36-061-0135,CCNY,AQS
1-May-2020,40,Ozone,36-061-0135,CCNY,AQS
2-May-2020,37,Ozone,36-061-0135,CCNY,AQS
3-May-2020,46,Ozone,36-061-0135,CCNY,AQS
4-May-2020,40,Ozone,36-061-0135,CCNY,AQS
5-May-2020,42,Ozone,36-061-0135,CCNY,AQS
6-May-2020,30,Ozone,36-061-0135,CCNY,AQS
7-May-2020,41,Ozone,36-061-0135,CCNY,AQS
8-May-2020,32,Ozone,36-061-0135,CCNY,AQS
9-May-2020,27,Ozone,36-061-0135,CCNY,AQS
10-May-2020,42,Ozone,36-061-0135,CCNY,AQS
11-May-2020,31,Ozone,36-061-0135,CCNY,AQS
12-May-2020,2,CO,36-061-0135,CCNY,AQS
13-May-2020,41,Ozone,36-061-0135,CCNY,AQS
14-May-2020,44,Ozone,36-061-0135,CCNY,AQS
15-May-2020,58,Ozone,36-061-0135,CCNY,AQS
16-May-2020,41,Ozone,36-061-0135,CCNY,AQS
17-May-2020,43,Ozone,36-061-0135,CCNY,AQS
18-May-2020,43,Ozone,36-061-0135,CCNY,AQS
19-May-2020,39,Ozone,36-061-0135,CCNY,AQS
20-May-2020,39,Ozone,36-061-0135,CCNY,AQS
21-May-2020,33,Ozone,36-061-0135,CCNY,AQS
22-May-2020,34,Ozone,36-061-0135,CCNY,AQS
23-May-2020,33,Ozone,36-061-0135,CCNY,AQS
24-May-2020,36,Ozone,36-061-0135,CCNY,AQS
25-May-2020,30,Ozone,36-061-0135,CCNY,AQS
26-May-2020,25,Ozone,36-061-0135,CCNY,AQS
27-May-2020,26,Ozone,36-061-0135,CCNY,AQS
28-May-2020,19,Ozone,36-061-0135,CCNY,AQS
29-May-2020,23,Ozone,36-061-0135,CCNY,AQS
30-May-2020,40,Ozone,36-061-0135,CCNY,AQS
31-May-2020,30,Ozone,36-061-0135,CCNY,AQS
1-Jun-2020,36,Ozone,36-061-0135,CCNY,AQS
2-Jun-2020,44,Ozone,36-061-0135,CCNY,AQS
3-Jun-2020,43,Ozone,36-061-0135,CCNY,AQS
4-Jun-2020,67,Ozone,36-061-0135,CCNY,AQS
5-Jun-2020,35,Ozone,36-061-0135,CCNY,AQS
6-Jun-2020,48,Ozone,36-061-0135,CCNY,AQS
7-Jun-2020,33,Ozone,36-061-0135,CCNY,AQS
8-Jun-2020,32,Ozone,36-061-0135,CCNY,AQS
9-Jun-2020,97,Ozone,36-061-0135,CCNY,AQS
10-Jun-2020,44,Ozone,36-061-0135,CCNY,AQS
11-Jun-2020,32,PM2.5,36-061-0135,CCNY,AQS
12-Jun-2020,48,Ozone,36-061-0135,CCNY,AQS
13-Jun-2020,38,Ozone,36-061-0135,CCNY,AQS
14-Jun-2020,38,Ozone,36-061-0135,CCNY,AQS
15-Jun-2020,37,Ozone,36-061-0135,CCNY,AQS
16-Jun-2020,39,Ozone,36-061-0135,CCNY,AQS
17-Jun-2020,31,Ozone,36-061-0135,CCNY,AQS
18-Jun-2020,2,CO,36-061-0135,CCNY,AQS
19-Jun-2020,38,Ozone,36-061-0135,CCNY,AQS
20-Jun-2020,48,Ozone,36-061-0135,CCNY,AQS
21-Jun-2020,40,Ozone,36-061-0135,CCNY,AQS
22-Jun-2020,74,Ozone,36-061-0135,CCNY,AQS
23-Jun-2020,51,Ozone,36-061-0135,CCNY,AQS
24-Jun-2020,43,Ozone,36-061-0135,CCNY,AQS
25-Jun-2020,80,Ozone,36-061-0135,CCNY,AQS
26-Jun-2020,54,Ozone,36-061-0135,CCNY,AQS
27-Jun-2020,41,Ozone,36-061-0135,CCNY,AQS
28-Jun-2020,64,Ozone,36-061-0135,CCNY,AQS
29-Jun-2020,37,Ozone,36-061-0135,CCNY,AQS
30-Jun-2020,36,Ozone,36-061-0135,CCNY,AQS
1-Jul-2020,45,Ozone,36-061-0135,CCNY,AQS
2-Jul-2020,40,Ozone,36-061-0135,CCNY,AQS
3-Jul-2020,43,Ozone,36-061-0135,CCNY,AQS
4-Jul-2020,60,PM2.5,36-061-0135,CCNY,AQS
5-Jul-2020,60,PM2.5,36-061-0135,CCNY,AQS
6-Jul-2020,87,Ozone,36-061-0135,CCNY,AQS
7-Jul-2020,35,Ozone,36-061-0135,CCNY,AQS
8-Jul-2020,32,Ozone,36-061-0135,CCNY,AQS
9-Jul-2020,31,Ozone,36-061-0135,CCNY,AQS
10-Jul-2020,19,Ozone,36-061-0135,CCNY,AQS
11-Jul-2020,33,Ozone,36-061-0135,CCNY,AQS
12-Jul-2020,38,Ozone,36-061-0135,CCNY,AQS
13-Jul-2020,42,Ozone,36-061-0135,CCNY,AQS
14-Jul-2020,29,Ozone,36-061-0135,CCNY,AQS
15-Jul-2020,41,Ozone,36-061-0135,CCNY,AQS
16-Jul-2020,26,Ozone,36-061-0135,CCNY,AQS
17-Jul-2020,42,Ozone,36-061-0135,CCNY,AQS
18-Jul-2020,71,Ozone,36-061-0135,CCNY,AQS
19-Jul-2020,100,Ozone,36-061-0135,CCNY,AQS
20-Jul-2020,54,Ozone,36-061-0135,CCNY,AQS
21-Jul-2020,80,Ozone,36-061-0135,CCNY,AQS
22-Jul-2020,108,Ozone,36-061-0135,CCNY,AQS
23-Jul-2020,50,Ozone,36-061-0135,CCNY,AQS
24-Jul-2020,33,Ozone,36-061-0135,CCNY,AQS
25-Jul-2020,90,Ozone,36-061-0135,CCNY,AQS
26-Jul-2020,48,Ozone,36-061-0135,CCNY,AQS
27-Jul-2020,64,Ozone,36-061-0135,CCNY,AQS
28-Jul-2020,45,Ozone,36-061-0135,CCNY,AQS
29-Jul-2020,77,Ozone,36-061-0135,CCNY,AQS
30-Jul-2020,90,Ozone,36-061-0135,CCNY,AQS
31-Jul-2020,45,Ozone,36-061-0135,CCNY,AQS
1-Aug-2020,71,Ozone,36-061-0135,CCNY,AQS
2-Aug-2020,39,Ozone,36-061-0135,CCNY,AQS
3-Aug-2020,46,Ozone,36-061-0135,CCNY,AQS
4-Aug-2020,38,PM2.5,36-061-0115,Intermediate School 143,AQS
5-Aug-2020,48,Ozone,36-061-0135,CCNY,AQS
6-Aug-2020,71,Ozone,36-061-0135,CCNY,AQS
7-Aug-2020,51,Ozone,36-061-0135,CCNY,AQS
8-Aug-2020,44,Ozone,36-061-0135,CCNY,AQS
9-Aug-2020,58,Ozone,36-061-0135,CCNY,AQS
10-Aug-2020,100,Ozone,36-061-0135,CCNY,AQS
11-Aug-2020,54,PM2.5,36-061-0115,Intermediate School 143,AQS
12-Aug-2020,80,Ozone,36-061-0135,CCNY,AQS
13-Aug-2020,45,PM2.5,36-061-0079,IS 45,AQS
14-Aug-2020,46,Ozone,36-061-0135,CCNY,AQS
15-Aug-2020,33,Ozone,36-061-0135,CCNY,AQS
16-Aug-2020,30,PM2.5,36-061-0079,IS 45,AQS
17-Aug-2020,39,Ozone,36-061-0135,CCNY,AQS
18-Aug-2020,36,Ozone,36-061-0135,CCNY,AQS
19-Aug-2020,36,PM2.5,36-061-0079,IS 45,AQS
20-Aug-2020,42,Ozone,36-061-0135,CCNY,AQS
21-Aug-2020,48,Ozone,36-061-0135,CCNY,AQS
22-Aug-2020,44,Ozone,36-061-0135,CCNY,AQS
23-Aug-2020,37,Ozone,36-061-0135,CCNY,AQS
24-Aug-2020,49,Ozone,36-061-0135,CCNY,AQS
25-Aug-2020,46,Ozone,36-061-0135,CCNY,AQS
26-Aug-2020,26,Ozone,36-061-0135,CCNY,AQS
27-Aug-2020,45,Ozone,36-061-0135,CCNY,AQS
28-Aug-2020,39,Ozone,36-061-0135,CCNY,AQS
29-Aug-2020,26,Ozone,36-061-0135,CCNY,AQS
30-Aug-2020,26,Ozone,36-061-0135,CCNY,AQS
31-Aug-2020,23,Ozone,36-061-0135,CCNY,AQS
1-Sep-2020,24,Ozone,36-061-0135,CCNY,AQS
2-Sep-2020,23,Ozone,36-061-0135,CCNY,AQS
3-Sep-2020,43,Ozone,36-061-0135,CCNY,AQS
4-Sep-2020,34,Ozone,36-061-0135,CCNY,AQS
5-Sep-2020,33,Ozone,36-061-0135,CCNY,AQS
6-Sep-2020,50,Ozone,36-061-0135,CCNY,AQS
7-Sep-2020,32,Ozone,36-061-0135,CCNY,AQS
8-Sep-2020,35,Ozone,36-061-0135,CCNY,AQS
9-Sep-2020,30,Ozone,36-061-0135,CCNY,AQS
10-Sep-2020,19,Ozone,36-061-0135,CCNY,AQS
11-Sep-2020,25,Ozone,36-061-0135,CCNY,AQS
12-Sep-2020,26,Ozone,36-061-0135,CCNY,AQS
13-Sep-2020,26,Ozone,36-061-0135,CCNY,AQS
