Date,Source,Site ID,Daily_Mean_PM25_Concentration,UNITS,DAILY_AQI,Site_Name,PERCENT_COMPLETE,AQS_PARAMETER_DESC,STATE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
21-May-2000,AQS,360610056,17.3,ug/m3 LC,62,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
22-May-2000,AQS,360610010,16.8,ug/m3 LC,61,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
23-May-2000,AQS,360610010,22.8,ug/m3 LC,74,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
24-May-2000,AQS,360610056,15.4,ug/m3 LC,58,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
25-May-2000,AQS,360610010,14.7,ug/m3 LC,56,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
26-May-2000,AQS,360610010,8.5,ug/m3 LC,35,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
27-May-2000,AQS,360610056,11.1,ug/m3 LC,46,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
28-May-2000,AQS,360610010,6.9,ug/m3 LC,29,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
29-May-2000,AQS,360610010,5.3,ug/m3 LC,22,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
30-May-2000,AQS,360610062,9.8,ug/m3 LC,41,CANAL STREET,100,PM2.5 - Local Conditions,New York,New York,40.72062227,-74.00367397
31-May-2000,AQS,360610010,14.7,ug/m3 LC,56,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
1-Jun-2000,AQS,360610010,33.5,ug/m3 LC,96,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
2-Jun-2000,AQS,360610062,36.3,ug/m3 LC,103,CANAL STREET,100,PM2.5 - Local Conditions,New York,New York,40.72062227,-74.00367397
3-Jun-2000,AQS,360610010,7.6,ug/m3 LC,32,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
4-Jun-2000,AQS,360610010,9.3,ug/m3 LC,39,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
5-Jun-2000,AQS,360610079,34.8,ug/m3 LC,99,IS 45,100,PM2.5 - Local Conditions,New York,New York,40.7997,-73.93432
6-Jun-2000,AQS,360610010,5.9,ug/m3 LC,25,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
7-Jun-2000,AQS,360610010,8.3,ug/m3 LC,35,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
8-Jun-2000,AQS,360610062,23.2,ug/m3 LC,74,CANAL STREET,100,PM2.5 - Local Conditions,New York,New York,40.72062227,-74.00367397
9-Jun-2000,AQS,360610010,31.8,ug/m3 LC,92,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
10-Jun-2000,AQS,360610010,44.1,ug/m3 LC,122,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
11-Jun-2000,AQS,360610010,42.9,ug/m3 LC,119,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
12-Jun-2000,AQS,360610010,20,ug/m3 LC,68,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
13-Jun-2000,AQS,360610010,12.1,ug/m3 LC,51,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
14-Jun-2000,AQS,360610056,12.1,ug/m3 LC,51,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
